sku,unidades,venta_neta,fecha,precio,costo,departamento,tienda
SKU001,100,1500.00,2024-01,15.00,8.00,PAPELERIA,T001
SKU001,120,1560.00,2024-02,13.00,8.00,PAPELERIA,T001
SKU001,90,1530.00,2024-03,17.00,8.00,PAPELERIA,T001
SKU001,130,1430.00,2024-04,11.00,8.00,PAPELERIA,T001
SKU001,85,1530.00,2024-05,18.00,8.00,PAPELERIA,T001
SKU001,140,1400.00,2024-06,10.00,8.00,PAPELERIA,T001
SKU002,200,3000.00,2024-01,15.00,9.00,LIBRERIA,T001
SKU002,180,2880.00,2024-02,16.00,9.00,LIBRERIA,T001
SKU002,220,2860.00,2024-03,13.00,9.00,LIBRERIA,T001
SKU002,160,3040.00,2024-04,19.00,9.00,LIBRERIA,T001
SKU002,240,2880.00,2024-05,12.00,9.00,LIBRERIA,T001
SKU002,170,2890.00,2024-06,17.00,9.00,LIBRERIA,T001
SKU003,50,2500.00,2024-01,50.00,30.00,TECNOLOGIA,T002
SKU003,60,2700.00,2024-02,45.00,30.00,TECNOLOGIA,T002
SKU003,40,2400.00,2024-03,60.00,30.00,TECNOLOGIA,T002
SKU003,70,2800.00,2024-04,40.00,30.00,TECNOLOGIA,T002
SKU003,35,2450.00,2024-05,70.00,30.00,TECNOLOGIA,T002
SKU003,80,3200.00,2024-06,40.00,30.00,TECNOLOGIA,T002
